account_id,account_name,global_region,industry_vertical,contract_tier,active_seats,total_licensed_seats,credits_consumed,monthly_credit_allowance,annual_contract_value,snapshot_month,api_calls_latest,api_mom_pct,api_3m_pct,seat_utilization,credit_utilization,account_status
ACC_0502,BizCorp_0502,AMER,Financial Services,Enterprise,44,723,8610,56939,390420,2026-08-01,9558,-0.547,-0.883,0.061,0.151,Churn Risk
ACC_0448,BizCorp_0448,APAC,Retail,Enterprise,44,717,20984,135545,387180,2026-08-01,24806,-0.474,-0.872,0.061,0.155,Churn Risk
ACC_0587,BizCorp_0587,AMER,Technology,Enterprise,41,698,32939,254767,376920,2026-08-01,36509,-0.525,-0.866,0.059,0.129,Churn Risk
ACC_0949,BizCorp_0949,AMER,Technology,Enterprise,44,631,12701,241468,340740,2026-08-01,14168,-0.55,-0.882,0.07,0.053,Churn Risk
ACC_0540,BizCorp_0540,EMEA,Retail,Enterprise,44,577,18605,259828,311580,2026-08-01,22612,-0.484,-0.873,0.076,0.072,Churn Risk
ACC_0296,BizCorp_0296,AMER,Technology,Enterprise,40,561,7323,152542,302940,2026-08-01,8783,-0.493,-0.888,0.071,0.048,Churn Risk
ACC_0511,BizCorp_0511,AMER,Logistics,Enterprise,43,543,20027,195838,293220,2026-08-01,24979,-0.499,-0.849,0.079,0.102,Churn Risk
ACC_0892,BizCorp_0892,AMER,Healthcare,Enterprise,36,524,12081,165845,282960,2026-08-01,13640,-0.513,-0.883,0.069,0.073,Churn Risk
ACC_0935,BizCorp_0935,EMEA,Healthcare,Enterprise,35,514,7824,125810,277560,2026-08-01,8990,-0.527,-0.875,0.068,0.062,Churn Risk
ACC_0578,BizCorp_0578,AMER,Retail,Enterprise,28,514,23997,187236,277560,2026-08-01,27633,-0.543,-0.887,0.054,0.128,Churn Risk
ACC_0063,BizCorp_0063,AMER,Logistics,Enterprise,45,477,24233,384266,257580,2026-08-01,29414,-0.5,-0.858,0.094,0.063,Churn Risk
ACC_0319,BizCorp_0319,APAC,Manufacturing,Enterprise,28,476,33490,419572,257040,2026-08-01,38002,-0.562,-0.877,0.059,0.08,Churn Risk
ACC_0889,BizCorp_0889,AMER,Technology,Enterprise,29,461,35019,592995,248940,2026-08-01,40970,-0.492,-0.89,0.063,0.059,Churn Risk
ACC_0506,BizCorp_0506,EMEA,Retail,Enterprise,41,444,39519,649461,239760,2026-08-01,49935,-0.49,-0.856,0.092,0.061,Churn Risk
ACC_0898,BizCorp_0898,EMEA,Technology,Enterprise,33,442,14748,223995,238680,2026-08-01,17367,-0.52,-0.88,0.075,0.066,Churn Risk
ACC_0320,BizCorp_0320,APAC,Logistics,Enterprise,34,430,14261,230546,232200,2026-08-01,15953,-0.51,-0.876,0.079,0.062,Churn Risk
ACC_0474,BizCorp_0474,APAC,Technology,Enterprise,29,381,27171,245896,205740,2026-08-01,30379,-0.564,-0.895,0.076,0.11,Churn Risk
ACC_0582,BizCorp_0582,APAC,Logistics,Enterprise,30,380,7131,88721,205200,2026-08-01,8543,-0.526,-0.894,0.079,0.08,Churn Risk
ACC_0269,BizCorp_0269,AMER,Healthcare,Enterprise,24,379,21821,315523,204660,2026-08-01,27181,-0.451,-0.856,0.063,0.069,Churn Risk
ACC_0371,BizCorp_0371,APAC,Logistics,Enterprise,29,375,8989,138798,202500,2026-08-01,10297,-0.527,-0.88,0.077,0.065,Churn Risk
ACC_0601,BizCorp_0601,APAC,Manufacturing,Enterprise,31,373,15605,214857,201420,2026-08-01,19881,-0.505,-0.873,0.083,0.073,Churn Risk
ACC_0774,BizCorp_0774,AMER,Retail,Enterprise,29,360,33564,514547,194400,2026-08-01,42761,-0.422,-0.856,0.081,0.065,Churn Risk
ACC_0357,BizCorp_0357,EMEA,Manufacturing,Enterprise,30,358,26137,309061,193320,2026-08-01,28778,-0.512,-0.892,0.084,0.085,Churn Risk
ACC_0566,BizCorp_0566,EMEA,Technology,Enterprise,23,358,19399,296619,193320,2026-08-01,24036,-0.446,-0.872,0.064,0.065,Churn Risk
ACC_0760,BizCorp_0760,AMER,Technology,Enterprise,27,345,18809,276867,186300,2026-08-01,23338,-0.48,-0.869,0.078,0.068,Churn Risk
ACC_0024,BizCorp_0024,EMEA,Technology,Enterprise,28,335,10769,174905,180900,2026-08-01,11966,-0.543,-0.874,0.084,0.062,Churn Risk
ACC_0512,BizCorp_0512,APAC,Logistics,Enterprise,41,331,26309,439594,178740,2026-08-01,29366,-0.553,-0.873,0.124,0.06,Churn Risk
ACC_0459,BizCorp_0459,AMER,Logistics,Enterprise,23,328,19478,308248,177120,2026-08-01,21745,-0.513,-0.865,0.07,0.063,Churn Risk
ACC_0902,BizCorp_0902,AMER,Manufacturing,Enterprise,23,323,35883,338709,174420,2026-08-01,43670,-0.459,-0.862,0.071,0.106,Churn Risk
ACC_0282,BizCorp_0282,AMER,Healthcare,Enterprise,24,317,10663,200451,171180,2026-08-01,12442,-0.513,-0.881,0.076,0.053,Churn Risk
ACC_0693,BizCorp_0693,EMEA,Healthcare,Enterprise,20,315,16357,304360,170100,2026-08-01,19798,-0.517,-0.878,0.063,0.054,Churn Risk
ACC_0593,BizCorp_0593,APAC,Technology,Enterprise,29,315,20066,228307,170100,2026-08-01,25495,-0.502,-0.859,0.092,0.088,Churn Risk
ACC_0478,BizCorp_0478,AMER,Logistics,Enterprise,21,313,9627,149554,169020,2026-08-01,12027,-0.518,-0.876,0.067,0.064,Churn Risk
ACC_0538,BizCorp_0538,AMER,Logistics,Enterprise,19,309,5950,50464,166860,2026-08-01,7186,-0.493,-0.868,0.061,0.118,Churn Risk
ACC_0547,BizCorp_0547,AMER,Manufacturing,Premium,11,215,9510,216646,154800,2026-08-01,12107,-0.444,-0.85,0.051,0.044,Churn Risk
ACC_0385,BizCorp_0385,AMER,Technology,Enterprise,23,280,21650,191663,151200,2026-08-01,24625,-0.525,-0.864,0.082,0.113,Churn Risk
ACC_0444,BizCorp_0444,APAC,Technology,Enterprise,13,277,8286,137116,149580,2026-08-01,10672,-0.415,-0.859,0.047,0.06,Churn Risk
ACC_0080,BizCorp_0080,APAC,Logistics,Enterprise,14,276,15064,206743,149040,2026-08-01,17006,-0.502,-0.883,0.051,0.073,Churn Risk
ACC_0178,BizCorp_0178,APAC,Manufacturing,Enterprise,15,272,11866,81180,146880,2026-08-01,14090,-0.487,-0.879,0.055,0.146,Churn Risk
ACC_0544,BizCorp_0544,EMEA,Manufacturing,Enterprise,17,268,36053,419396,144720,2026-08-01,43173,-0.459,-0.891,0.063,0.086,Churn Risk
ACC_0766,BizCorp_0766,APAC,Healthcare,Premium,11,194,7411,151618,139680,2026-08-01,9399,-0.5,-0.864,0.057,0.049,Churn Risk
ACC_0342,BizCorp_0342,AMER,Healthcare,Enterprise,18,252,7922,145461,136080,2026-08-01,10289,-0.432,-0.862,0.071,0.054,Churn Risk
ACC_0922,BizCorp_0922,AMER,Logistics,Enterprise,18,252,31440,546118,136080,2026-08-01,39079,-0.436,-0.873,0.071,0.058,Churn Risk
ACC_0961,BizCorp_0961,APAC,Technology,Enterprise,21,243,14277,238298,131220,2026-08-01,18104,-0.489,-0.839,0.086,0.06,Churn Risk
ACC_0180,BizCorp_0180,AMER,Technology,Enterprise,16,241,10197,234988,130140,2026-08-01,12761,-0.497,-0.871,0.066,0.043,Churn Risk
ACC_0737,BizCorp_0737,AMER,Healthcare,Enterprise,17,240,38052,667528,129600,2026-08-01,42236,-0.569,-0.874,0.071,0.057,Churn Risk
ACC_0994,BizCorp_0994,AMER,Retail,Enterprise,20,236,24324,561542,127440,2026-08-01,26899,-0.517,-0.88,0.085,0.043,Churn Risk
ACC_0150,BizCorp_0150,APAC,Technology,Enterprise,13,231,20127,211573,124740,2026-08-01,24340,-0.525,-0.868,0.056,0.095,Churn Risk
ACC_0795,BizCorp_0795,AMER,Retail,Enterprise,24,225,35350,226648,121500,2026-08-01,40701,-0.557,-0.876,0.107,0.156,Churn Risk
ACC_0113,BizCorp_0113,APAC,Healthcare,Enterprise,14,213,20792,323334,115020,2026-08-01,25502,-0.451,-0.888,0.066,0.064,Churn Risk
ACC_0855,BizCorp_0855,EMEA,Logistics,Enterprise,17,211,14780,316792,113940,2026-08-01,18458,-0.434,-0.87,0.081,0.047,Churn Risk
ACC_0612,BizCorp_0612,APAC,Healthcare,Enterprise,16,208,10534,161458,112320,2026-08-01,12571,-0.462,-0.87,0.077,0.065,Churn Risk
ACC_0602,BizCorp_0602,AMER,Retail,Enterprise,26,207,13286,251294,111780,2026-08-01,14625,-0.573,-0.886,0.126,0.053,Churn Risk
ACC_0680,BizCorp_0680,APAC,Technology,Enterprise,13,203,4711,113834,109620,2026-08-01,5653,-0.515,-0.887,0.064,0.041,Churn Risk
ACC_0452,BizCorp_0452,EMEA,Retail,Enterprise,14,202,11765,191980,109080,2026-08-01,15163,-0.466,-0.845,0.069,0.061,Churn Risk
ACC_0485,BizCorp_0485,EMEA,Manufacturing,Enterprise,14,199,33620,532274,107460,2026-08-01,42760,-0.476,-0.851,0.07,0.063,Churn Risk
ACC_0714,BizCorp_0714,APAC,Technology,Enterprise,23,197,19004,223285,106380,2026-08-01,24565,-0.442,-0.842,0.117,0.085,Churn Risk
ACC_0174,BizCorp_0174,EMEA,Technology,Enterprise,21,193,22828,302409,104220,2026-08-01,29591,-0.44,-0.855,0.109,0.075,Churn Risk
ACC_0212,BizCorp_0212,EMEA,Retail,Premium,8,135,11688,128509,97200,2026-08-01,14744,-0.506,-0.858,0.059,0.091,Churn Risk
ACC_0917,BizCorp_0917,APAC,Financial Services,Enterprise,17,177,30138,293229,95580,2026-08-01,38314,-0.443,-0.848,0.096,0.103,Churn Risk
ACC_0963,BizCorp_0963,APAC,Retail,Premium,6,131,3755,66112,94320,2026-08-01,4138,-0.55,-0.874,0.046,0.057,Churn Risk
ACC_0451,BizCorp_0451,EMEA,Technology,Enterprise,20,168,12806,196050,90720,2026-08-01,15583,-0.521,-0.847,0.119,0.065,Churn Risk
ACC_0793,BizCorp_0793,EMEA,Retail,Enterprise,13,163,21648,257017,88020,2026-08-01,26350,-0.462,-0.86,0.08,0.084,Churn Risk
ACC_0553,BizCorp_0553,APAC,Retail,Enterprise,17,162,32500,707869,87480,2026-08-01,40775,-0.458,-0.871,0.105,0.046,Churn Risk
ACC_0170,BizCorp_0170,AMER,Logistics,Premium,9,121,5886,63172,87120,2026-08-01,7157,-0.498,-0.866,0.074,0.093,Churn Risk
ACC_0355,BizCorp_0355,AMER,Technology,Premium,6,116,3919,79743,83520,2026-08-01,4934,-0.509,-0.855,0.052,0.049,Churn Risk
ACC_0796,BizCorp_0796,AMER,Retail,Premium,7,116,23393,289145,83520,2026-08-01,28703,-0.453,-0.885,0.06,0.081,Churn Risk
ACC_0842,BizCorp_0842,APAC,Retail,Enterprise,16,142,34387,393700,76680,2026-08-01,44335,-0.477,-0.851,0.113,0.087,Churn Risk
ACC_0718,BizCorp_0718,EMEA,Technology,Enterprise,15,140,13789,207620,75600,2026-08-01,15508,-0.516,-0.873,0.107,0.066,Churn Risk
ACC_0668,BizCorp_0668,EMEA,Technology,Premium,10,104,31456,441747,74880,2026-08-01,34849,-0.497,-0.891,0.096,0.071,Churn Risk
ACC_0171,BizCorp_0171,AMER,Financial Services,Premium,4,104,3068,80026,74880,2026-08-01,3596,-0.493,-0.893,0.038,0.038,Churn Risk
ACC_0101,BizCorp_0101,EMEA,Logistics,Premium,6,103,3468,70349,74160,2026-08-01,4355,-0.516,-0.859,0.058,0.049,Churn Risk
ACC_0516,BizCorp_0516,APAC,Retail,Premium,7,102,4447,67399,73440,2026-08-01,5094,-0.541,-0.873,0.069,0.066,Churn Risk
ACC_0253,BizCorp_0253,APAC,Retail,Premium,8,100,3405,26206,72000,2026-08-01,4221,-0.497,-0.894,0.08,0.13,Churn Risk
ACC_0710,BizCorp_0710,APAC,Retail,Enterprise,13,131,27103,189613,70740,2026-08-01,32096,-0.498,-0.885,0.099,0.143,Churn Risk
ACC_0904,BizCorp_0904,AMER,Technology,Premium,7,98,3759,62188,70560,2026-08-01,4169,-0.513,-0.867,0.071,0.06,Churn Risk
ACC_0909,BizCorp_0909,AMER,Technology,Premium,11,98,19541,277809,70560,2026-08-01,24511,-0.517,-0.878,0.112,0.07,Churn Risk
ACC_0365,BizCorp_0365,EMEA,Logistics,Premium,8,97,1221,20404,69840,2026-08-01,1376,-0.506,-0.892,0.082,0.06,Churn Risk
ACC_0945,BizCorp_0945,APAC,Financial Services,Premium,8,95,3740,52962,68400,2026-08-01,4743,-0.467,-0.874,0.084,0.071,Churn Risk
ACC_0986,BizCorp_0986,AMER,Retail,Premium,6,95,3532,48593,68400,2026-08-01,4522,-0.488,-0.842,0.063,0.073,Churn Risk
ACC_0338,BizCorp_0338,EMEA,Technology,Premium,7,92,21072,514012,66240,2026-08-01,25863,-0.462,-0.879,0.076,0.041,Churn Risk
ACC_0098,BizCorp_0098,AMER,Financial Services,Premium,4,89,2152,41702,64080,2026-08-01,2730,-0.476,-0.847,0.045,0.052,Churn Risk
