account_id,snapshot_month,account_status,api_calls_latest,api_mom_pct,api_3m_pct,seat_utilization,credit_utilization,status_sort,recommended_action
ACC_0001,2026-08-01,Healthy,82262,0.089,0.142,0.633,0.592,4,Monitor - no action required
ACC_0002,2026-08-01,Healthy,4188,0.016,-0.046,0.667,0.489,4,Monitor - no action required
ACC_0003,2026-08-01,Low Adoption,181658,-0.1,0.116,0.425,0.396,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0004,2026-08-01,Healthy,8471,0.059,0.066,0.76,0.312,4,Monitor - no action required
ACC_0005,2026-08-01,Low Adoption,13263,0.135,0.011,0.4,0.721,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0006,2026-08-01,Healthy,253470,0.175,-0.165,0.622,0.526,4,Monitor - no action required
ACC_0007,2026-08-01,Healthy,25724,-0.071,-0.082,0.823,0.607,4,Monitor - no action required
ACC_0008,2026-08-01,Expansion Opportunity,403785,0.189,0.51,0.959,1.18,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0009,2026-08-01,Healthy,4809,-0.126,-0.113,0.6,0.649,4,Monitor - no action required
ACC_0010,2026-08-01,Churn Risk,803,-0.501,-0.879,0.062,0.066,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0011,2026-08-01,Churn Risk,825,-0.553,-0.869,0.053,0.052,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0012,2026-08-01,Healthy,6424,0.06,0.132,0.571,0.487,4,Monitor - no action required
ACC_0013,2026-08-01,Healthy,49534,-0.119,-0.184,0.588,0.347,4,Monitor - no action required
ACC_0014,2026-08-01,Healthy,14485,-0.17,-0.176,0.645,0.368,4,Monitor - no action required
ACC_0015,2026-08-01,Expansion Opportunity,85322,0.182,0.824,0.949,1.087,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0016,2026-08-01,Churn Risk,1643,-0.44,-0.86,0.091,0.038,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0017,2026-08-01,Low Adoption,186779,-0.144,-0.201,0.447,0.345,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0018,2026-08-01,Low Adoption,153182,0.021,-0.129,0.495,0.346,3,Customer Success: enablement session and onboarding refresh to lift active seats
ACC_0019,2026-08-01,Expansion Opportunity,9584,0.2,0.653,1.0,0.766,2,Sales: propose seat / tier upgrade before credit overage or seat cap is hit
ACC_0020,2026-08-01,Healthy,122312,-0.175,-0.174,0.738,0.485,4,Monitor - no action required
ACC_0021,2026-08-01,Healthy,3477,-0.112,-0.274,0.583,0.551,4,Monitor - no action required
ACC_0022,2026-08-01,Churn Risk,3315,-0.5,-0.887,0.069,0.083,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
ACC_0023,2026-08-01,Healthy,28783,-0.045,-0.101,0.625,0.399,4,Monitor - no action required
ACC_0024,2026-08-01,Churn Risk,11966,-0.543,-0.874,0.084,0.062,1,CSM outreach within 7 days; run adoption health check and executive sponsor call
