account_id,account_name,usage_month,active_seats,total_api_calls,credits_consumed,global_region,industry_vertical,contract_tier,total_licensed_seats,monthly_credit_allowance,annual_contract_value,firmographic_source
ACC_0001,BizCorp_0001,2026-03-01,92,71897,64438,APAC,Manufacturing,Enterprise,158,113112,85320,Reference sample
ACC_0001,BizCorp_0001,2026-04-01,94,67200,60129,APAC,Manufacturing,Enterprise,158,113112,85320,Reference sample
ACC_0001,BizCorp_0001,2026-05-01,95,72055,55593,APAC,Manufacturing,Enterprise,158,113112,85320,Reference sample
ACC_0001,BizCorp_0001,2026-06-01,99,59421,50328,APAC,Manufacturing,Enterprise,158,113112,85320,Reference sample
ACC_0001,BizCorp_0001,2026-07-01,86,75540,59707,APAC,Manufacturing,Enterprise,158,113112,85320,Reference sample
ACC_0001,BizCorp_0001,2026-08-01,100,82262,67016,APAC,Manufacturing,Enterprise,158,113112,85320,Reference sample
ACC_0002,BizCorp_0002,2026-03-01,7,4873,3858,APAC,Financial Services,Standard,12,7286,11520,Reference sample
ACC_0002,BizCorp_0002,2026-04-01,8,4184,3338,APAC,Financial Services,Standard,12,7286,11520,Reference sample
ACC_0002,BizCorp_0002,2026-05-01,8,4389,3743,APAC,Financial Services,Standard,12,7286,11520,Reference sample
ACC_0002,BizCorp_0002,2026-06-01,7,3806,3090,APAC,Financial Services,Standard,12,7286,11520,Reference sample
ACC_0002,BizCorp_0002,2026-07-01,7,4124,3362,APAC,Financial Services,Standard,12,7286,11520,Reference sample
ACC_0002,BizCorp_0002,2026-08-01,8,4188,3565,APAC,Financial Services,Standard,12,7286,11520,Reference sample
ACC_0003,BizCorp_0003,2026-03-01,186,187020,150300,AMER,Retail,Enterprise,480,385929,259200,Reference sample
ACC_0003,BizCorp_0003,2026-04-01,185,165862,145812,AMER,Retail,Enterprise,480,385929,259200,Reference sample
ACC_0003,BizCorp_0003,2026-05-01,218,162728,136585,AMER,Retail,Enterprise,480,385929,259200,Reference sample
