account_id,usage_month,active_seats,total_api_calls,credits_consumed,account_name,global_region,industry_vertical,contract_tier,total_licensed_seats,monthly_credit_allowance
ACC_0001,2026-03,99,67196,58384,BizCorp_0001,APAC,Manufacturing,Enterprise,158,113112
ACC_0001,2026-04,105,62379,48540,BizCorp_0001,APAC,Manufacturing,Enterprise,158,113112
ACC_0001,2026-05,102,75938,60829,BizCorp_0001,APAC,Manufacturing,Enterprise,158,113112
ACC_0001,2026-06,121,84521,68487,BizCorp_0001,APAC,Manufacturing,Enterprise,158,113112
ACC_0001,2026-07,146,96389,82184,BizCorp_0001,APAC,Manufacturing,Enterprise,158,113112
ACC_0001,2026-08,158,109863,98621,BizCorp_0001,APAC,Manufacturing,Enterprise,158,113112
ACC_0002,2026-03,7,5542,4613,BizCorp_0002,APAC,Financial Services,Standard,12,7286
ACC_0002,2026-04,8,4838,3904,BizCorp_0002,APAC,Financial Services,Standard,12,7286
ACC_0002,2026-05,7,4608,3738,BizCorp_0002,APAC,Financial Services,Standard,12,7286
ACC_0002,2026-06,3,2421,2059,BizCorp_0002,APAC,Financial Services,Standard,12,7286
ACC_0002,2026-07,1,1285,1029,BizCorp_0002,APAC,Financial Services,Standard,12,7286
ACC_0002,2026-08,1,583,514,BizCorp_0002,APAC,Financial Services,Standard,12,7286
ACC_0003,2026-03,259,280627,223225,BizCorp_0003,AMER,Retail,Enterprise,480,385929
ACC_0003,2026-04,275,275039,231445,BizCorp_0003,AMER,Retail,Enterprise,480,385929
ACC_0003,2026-05,279,308771,245301,BizCorp_0003,AMER,Retail,Enterprise,480,385929
ACC_0003,2026-06,134,157931,122241,BizCorp_0003,AMER,Retail,Enterprise,480,385929
ACC_0003,2026-07,67,76228,61120,BizCorp_0003,AMER,Retail,Enterprise,480,385929
ACC_0003,2026-08,33,37642,30560,BizCorp_0003,AMER,Retail,Enterprise,480,385929
ACC_0004,2026-03,14,16631,13303,BizCorp_0004,AMER,Technology,Premium,25,21952
ACC_0004,2026-04,15,12697,11140,BizCorp_0004,AMER,Technology,Premium,25,21952
ACC_0004,2026-05,13,13399,11213,BizCorp_0004,AMER,Technology,Premium,25,21952
ACC_0004,2026-06,7,7709,6071,BizCorp_0004,AMER,Technology,Premium,25,21952
ACC_0004,2026-07,3,3382,3035,BizCorp_0004,AMER,Technology,Premium,25,21952
ACC_0004,2026-08,1,1794,1517,BizCorp_0004,AMER,Technology,Premium,25,21952
ACC_0005,2026-03,3,7124,5757,BizCorp_0005,AMER,Logistics,Standard,5,14195
ACC_0005,2026-04,3,9110,7134,BizCorp_0005,AMER,Logistics,Standard,5,14195
ACC_0005,2026-05,3,7432,5895,BizCorp_0005,AMER,Logistics,Standard,5,14195
ACC_0005,2026-06,3,7717,6370,BizCorp_0005,AMER,Logistics,Standard,5,14195
ACC_0005,2026-07,3,6429,5707,BizCorp_0005,AMER,Logistics,Standard,5,14195
ACC_0005,2026-08,3,7874,6498,BizCorp_0005,AMER,Logistics,Standard,5,14195
ACC_0006,2026-03,366,324140,269902,BizCorp_0006,EMEA,Technology,Enterprise,460,385706
ACC_0006,2026-04,382,328662,256880,BizCorp_0006,EMEA,Technology,Enterprise,460,385706
ACC_0006,2026-05,376,289478,251319,BizCorp_0006,EMEA,Technology,Enterprise,460,385706
ACC_0006,2026-06,179,145544,126621,BizCorp_0006,EMEA,Technology,Enterprise,460,385706
ACC_0006,2026-07,89,77715,63310,BizCorp_0006,EMEA,Technology,Enterprise,460,385706
