account_id,usage_month,active_seats,total_api_calls,credits_consumed
ACC_0001,2026-03,92,71897,64438
ACC_0001,2026-04,94,67200,60129
ACC_0001,2026-05,95,72055,55593
ACC_0001,2026-06,99,59421,50328
ACC_0001,2026-07,86,75540,59707
ACC_0001,2026-08,100,82262,67016
ACC_0002,2026-03,7,4873,3858
ACC_0002,2026-04,8,4184,3338
ACC_0002,2026-05,8,4389,3743
ACC_0002,2026-06,7,3806,3090
ACC_0002,2026-07,7,4124,3362
ACC_0002,2026-08,8,4188,3565
ACC_0003,2026-03,186,187020,150300
ACC_0003,2026-04,185,165862,145812
ACC_0003,2026-05,218,162728,136585
ACC_0003,2026-06,212,168566,150297
ACC_0003,2026-07,197,201760,159181
ACC_0003,2026-08,204,181658,152641
ACC_0004,2026-03,20,7984,6729
ACC_0004,2026-04,19,9378,7466
ACC_0004,2026-05,21,7947,7004
ACC_0004,2026-06,20,7185,5835
ACC_0004,2026-07,20,8000,6269
ACC_0004,2026-08,19,8471,6840
ACC_0005,2026-03,2,10807,9592
ACC_0005,2026-04,2,12888,10313
ACC_0005,2026-05,2,13124,10317
ACC_0005,2026-06,2,13492,11001
ACC_0005,2026-07,2,11687,10092
ACC_0005,2026-08,2,13263,10232
ACC_0006,2026-03,266,230719,197121
ACC_0006,2026-04,275,280672,227554
ACC_0006,2026-05,272,303626,239401
ACC_0006,2026-06,264,310429,246048
ACC_0006,2026-07,277,215759,191096
ACC_0006,2026-08,286,253470,202770
ACC_0007,2026-03,70,23929,19039
ACC_0007,2026-04,71,26000,22190
ACC_0007,2026-05,75,28015,22683
ACC_0007,2026-06,77,24720,20107
ACC_0007,2026-07,74,27694,21991
ACC_0007,2026-08,79,25724,23188
ACC_0008,2026-03,192,217112,179369
ACC_0008,2026-04,158,215288,175873
ACC_0008,2026-05,185,267319,211153
ACC_0008,2026-06,211,292440,228060
ACC_0008,2026-07,253,339607,273673
ACC_0008,2026-08,304,403785,328407
ACC_0009,2026-03,10,5110,4133
ACC_0009,2026-04,9,4965,4128
ACC_0009,2026-05,10,5424,4478
ACC_0009,2026-06,9,5399,4691
ACC_0009,2026-07,10,5500,4864
ACC_0009,2026-08,9,4809,4332
ACC_0010,2026-03,9,7104,6106
ACC_0010,2026-04,9,5671,5093
ACC_0010,2026-05,9,6621,5484
ACC_0010,2026-06,4,3146,2813
ACC_0010,2026-07,2,1608,1406
ACC_0010,2026-08,1,803,703
ACC_0011,2026-03,11,7119,5958
ACC_0011,2026-04,10,7611,6189
ACC_0011,2026-05,9,6300,5488
ACC_0011,2026-06,5,3534,2877
ACC_0011,2026-07,2,1845,1438
ACC_0011,2026-08,1,825,719
ACC_0012,2026-03,10,6243,5304
ACC_0012,2026-04,9,5609,4375
ACC_0012,2026-05,10,5677,4504
ACC_0012,2026-06,9,5168,4039
ACC_0012,2026-07,8,6060,4699
ACC_0012,2026-08,8,6424,5320
ACC_0013,2026-03,90,53889,43562
ACC_0013,2026-04,94,55001,43454
ACC_0013,2026-05,95,60675,51115
ACC_0013,2026-06,94,51399,41545
ACC_0013,2026-07,80,56226,50765
ACC_0013,2026-08,80,49534,43059
ACC_0014,2026-03,18,16335,13324
ACC_0014,2026-04,19,14554,11788
ACC_0014,2026-05,19,17586,14372
ACC_0014,2026-06,20,17537,14141
ACC_0014,2026-07,17,17442,15557
ACC_0014,2026-08,20,14485,12965
ACC_0015,2026-03,39,39783,34777
ACC_0015,2026-04,45,53622,42226
ACC_0015,2026-05,41,46771,40334
ACC_0015,2026-06,52,59435,46529
ACC_0015,2026-07,62,72198,55835
ACC_0015,2026-08,75,85322,67002
ACC_0016,2026-03,55,10156,9164
ACC_0016,2026-04,52,12026,9943
ACC_0016,2026-05,47,11703,9376
ACC_0016,2026-06,25,6392,5134
ACC_0016,2026-07,12,2932,2567
ACC_0016,2026-08,6,1643,1283
ACC_0017,2026-03,222,176240,155104
ACC_0017,2026-04,221,239839,188809
ACC_0017,2026-05,227,233785,196087
ACC_0017,2026-06,211,178199,160039
ACC_0017,2026-07,192,218318,182321
ACC_0017,2026-08,201,186779,151718
ACC_0018,2026-03,90,144654,124096
ACC_0018,2026-04,99,149061,131857
ACC_0018,2026-05,97,175842,136129
ACC_0018,2026-06,90,147890,117641
ACC_0018,2026-07,100,150066,129890
ACC_0018,2026-08,93,153182,131339
ACC_0019,2026-03,10,5733,5051
ACC_0019,2026-04,11,6974,5484
ACC_0019,2026-05,10,5798,5031
ACC_0019,2026-06,13,7624,5969
ACC_0019,2026-07,16,7987,7162
ACC_0019,2026-08,19,9584,8595
ACC_0020,2026-03,303,152607,121712
ACC_0020,2026-04,269,117942,102370
ACC_0020,2026-05,308,148079,120313
ACC_0020,2026-06,265,147083,115063
ACC_0020,2026-07,290,148325,131637
ACC_0020,2026-08,285,122312,104293
ACC_0021,2026-03,8,4138,3652
